"","superid","Division","adjusted_id","Line","Station_Name","Station_Latitude","Station_Longitude"
"1","1037","IRT","1037","Flushing","103rdSt",40.749865,-73.8627
"2","1036","IRT","1036","Lexington","103rdSt",40.7906,-73.947478
"3","103bc","IND","103bc","8 Avenue","103rdSt",40.796092,-73.961454
"4","1031","IRT","1031","Broadway-7th Ave","103rdSt",40.799446,-73.968379
"5","104102jz","BMT","104102jz","Broadway Jamaica","104thSt-102ndSt",40.695178,-73.84433
"6","104jz",NA,"104102jz",NA,"104thSt-102ndSt",40.695178,-73.84433
"7","104a","IND","104a","Liberty","104thSt-OxfordAv",40.681711,-73.837683
"8","1106","IRT","1106","Lexington","110thSt",40.79502,-73.94425
"9","11023","IRT","11023","Lenox","110thSt-CentralParkNorth",40.799075,-73.951822
"10","111j","BMT","111j","Broadway Jamaica","111thSt",40.697418,-73.836345
"11","1117","IRT","1117","Flushing","111thSt",40.75173,-73.855334
"12","111a","IND","111a","Liberty","111thSt-GreenwoodAv",40.684331,-73.832163
"13","1166","IRT","1166","Lexington","116thSt",40.798629,-73.941617
"14","11623","IRT","11623","Lenox","116thSt",40.802098,-73.949625
"15","116bc","IND","116bc","8 Avenue","116thSt",40.805085,-73.954882
"16","1161","IRT","1161","Broadway-7th Ave","116thSt-ColumbiaUniversity",40.807722,-73.96411
"17","121jz","BMT","121jz","Broadway Jamaica","121stSt",40.700492,-73.828294
"18","125456","IRT","125456","Lexington","125thSt",40.804138,-73.937594
"19","12523","IRT","12523","Lenox","125thSt",40.807754,-73.945495
"20","125abcd","IND","125abcd","8 Avenue","125thSt",40.811109,-73.952343
"21","125acbd",NA,"125abcd",NA,"125thSt",40.811109,-73.952343
"22","1251","IRT","1251","Broadway-7th Ave","125thSt",40.815581,-73.958372
"23","13523","IRT","13523","Lenox","135thSt",40.814229,-73.94077
"24","135bc","IND","135bc","8 Avenue","135thSt",40.817894,-73.947649
"25","1371","IRT","1371","Broadway-7th Ave","137thSt-CityCollege",40.822008,-73.953676
"27","13845","IRT","13845","Jerome","138thSt",40.813224,-73.929849
"29","13836","IRT","13836","Pelham","138thSt-3rdAve",40.810476,-73.926138
"30","1453","IRT","1453","Lenox","145thSt",40.820421,-73.936245
"31","145abcd","IND","145abcd","8 Avenue","145thSt",40.824783,-73.944216
"32","1451","IRT","1451","Broadway-7th Ave","145thSt",40.826551,-73.95036
"33","149325","IRT","149325","White Plains Road","149thSt-3rdAv",40.816109,-73.917757
"34","149245","IRT","149245","Jerome","149thSt-GrandConcourse",40.818375,-73.927351
"35","14123flm",NA,"14flm123",NA,"14st",40.738228,-73.996209
"36","14flm123","IRT","14flm123","Broadway-7th Ave","14thSt",40.737826,-74.000201
"37","141",NA,"14flm123","broadway","14thSt",40.738228,-73.996209
"38","14acel","IND","14acel","8 Avenue","14thSt",40.740893,-74.00169
"39","14lnqr456","IRT","14lnqr456","Lexington","14thSt-UnionSquare",40.734673,-73.989951
"40","14456lnqr",NA,"14lnqr456",NA,"14thSt-UnionSquare",40.734673,-73.989951
"41","146flm123",NA,"14lnqr457",NA,"14thSt-UnionSquare",40.734673,-73.989951
"42","155bd","IND","155bd","Concourse","155thSt",40.830135,-73.938209
"43","155c","IND","155c","8 Avenue","155thSt",40.830518,-73.941514
"44","1571","IRT","1571","Broadway-7th Ave","157thSt",40.834041,-73.94489
"46","163c","IND","163c","8 Avenue","163rdSt-AmsterdamAv",40.836013,-73.939892
"47","167bd","IND","167bd","Concourse","167thSt",40.833769,-73.918432
"48","1674","IRT","1674","Jerome","167thSt",40.835537,-73.9214
"49","1681ac",NA,"168ac1",NA,"168ST-BROADWAY",40.840556,-73.940133
"50","168ac1","IRT","168ac1","Broadway-7th Ave","168thSt",40.840556,-73.940133
"51","168ac","IND","168ac","8 Avenue","168thSt-WashingtonHeights",40.840719,-73.939561
"52","169f","IND","169f","Queens Boulevard","169thSt",40.71047,-73.793604
"53","170bd","IND","170bd","Concourse","170thSt",40.839306,-73.9134
"54","1704","IRT","1704","Jerome","170thSt",40.840075,-73.917791
"55","174175bd","IND","174175bd","Concourse","174-175thSts",40.8459,-73.910136
"56","17425","IRT","17425","White Plains Road","174thSt",40.837288,-73.887734
"58","175a","IND","175a","8 Avenue","175thSt",40.847391,-73.939704
"59","1764","IRT","1764","Jerome","176thSt",40.84848,-73.911794
"61","1811","IRT","1811","Broadway-7th Ave","181stSt",40.849505,-73.933596
"63","181a","IND","181a","8 Avenue","181stSt",40.851695,-73.937969
"64","182183bd","IND","182183bd","Concourse","182nd-183rdSts",40.856093,-73.900741
"65","1834","IRT","1834","Jerome","183rdSt",40.858407,-73.903879
"66","18d","BMT","18d","West End","18thAv",40.607954,-74.001736
"67","18n","BMT","18n","Sea Beach","18thAv",40.620671,-73.990414
"68","18f","IND","18f","Culver","18thAv",40.629755,-73.976971
"69","181","IRT","181","Broadway-7th Ave","18thSt",40.74104,-73.997871
"71","190a","IND","190a","8 Avenue","190thSt",40.859022,-73.93418
"72","1911","IRT","1911","Broadway-7th Ave","191stSt",40.855225,-73.929412
"73","1l","BMT","1l","Canarsie","1stAv",40.730953,-73.981628
"74","2071","IRT","2071","Broadway-7th Ave","207thSt",40.864614,-73.918819
"75","20d","BMT","20d","West End","20thAv",40.604556,-73.998168
"76","20n","BMT","20n","Sea Beach","20thAv",40.61741,-73.985026
"77","2151","IRT","2151","Broadway-7th Ave","215thSt",40.869444,-73.915279
"79","21925","IRT","21925","White Plains Road","219thSt",40.883895,-73.862633
"80","21g","IND","21g","Crosstown","21stSt",40.744065,-73.949724
"81","21f","IND","21f","63rd Street","21stSt",40.754203,-73.942836
"82","22525","IRT","22525","White Plains Road","225thSt",40.888022,-73.860341
"83","2311","IRT","2311","Broadway-7th Ave","231stSt",40.878856,-73.904834
"85","23325","IRT","23325","White Plains Road","233rdSt",40.893193,-73.857473
"86","2381","IRT","2381","Broadway-7th Ave","238thSt",40.884667,-73.90087
"87","23825","IRT","23825","White Plains Road","238thSt-NereidAv",40.898379,-73.854376
"88","236","IRT","236","Lexington","23rdSt",40.739864,-73.986599
"90","23nr","BMT","23nr","Broadway","23rdSt",40.741303,-73.989344
"91","235nr",NA,"23nr",NA,"23rdSt",40.741303,-73.989344
"92","23fm","IND","23fm","6 Avenue","23rdSt",40.742878,-73.992821
"93","236fm",NA,"23fm",NA,"23rdSt",40.742878,-73.992821
"94","231","IRT","231","Broadway-7th Ave","23rdSt",40.744081,-73.995657
"95","23ce","IND","23ce","8 Avenue","23rdSt",40.745906,-73.998041
"96","23emg",NA,"23egm7",NA,"23rdSt",40.747846,-73.946
"97","23egm7","IND","23egm7","Queens Boulevard","23rdSt-ElyAv",40.747846,-73.946
"98","25d","BMT","25d","West End","25thAv",40.597704,-73.986829
"99","25r","BMT","25r","4 Avenue","25thSt",40.660397,-73.998091
"100","286","IRT","286","Lexington","28thSt",40.74307,-73.984264
"103","28nr","BMT","28nr","Broadway","28thSt",40.745494,-73.988691
"104","281","IRT","281","Broadway-7th Ave","28thSt",40.747215,-73.993365
"105","2f","IND","2f","6 Avenue","2ndAv",40.723402,-73.989938
"106","30nq","BMT","30nq","Astoria","30Av-GrandAv",40.766779,-73.921479
"107","31nq",NA,"30nq",NA,"30Av-GrandAv",40.766779,-73.921479
"108","336","IRT","336","Lexington","33rdSt",40.746081,-73.982076
"109","34bdfmnqr","BMT","34bdfmnqr","Broadway","34thSt",40.749567,-73.98795
"110","34123","IRT","34123","Broadway-7th Ave","34thSt",40.750373,-73.991057
"111","34ace","IND","34ace","8 Avenue","34thSt",40.752287,-73.993391
"112","34123ace",NA,"34ace","","34thSt",40.752287,-73.993391
"113","36nq","BMT","36nq","Astoria","36Av-WashingtonAv",40.756804,-73.929575
"114","36nr","BMT","36nr","4 Avenue","36thSt",40.655144,-74.003549
"115","36dnr",NA,"36nr","","36thSt",40.655144,-74.003549
"116","36mr","IND","36mr","Queens Boulevard","36thSt",40.752039,-73.928781
"117","39nq","BMT","39nq","Astoria","39Av-BeebeAv",40.752882,-73.932755
"118","3l","BMT","3l","Canarsie","3rdAv",40.732849,-73.986122
"119","42bdfm7","IND","42bdfm7","6 Avenue","42ndSt",40.754222,-73.984569
"120","42acenqrs1237","IND","42acenqrs1237","8 Avenue","42ndSt",40.757308,-73.989735
"121","45egm7","IRT","45egm7","Flushing","45Rd-CourtHouseSq",40.747023,-73.945264
"122","courtsq7",NA,"45egm7","","45Rd-CourtHouseSq",40.747023,-73.945264
"123","courtsqemg",NA,"45egm7","","45Rd-CourtHouseSq",40.747023,-73.945264
"124","45r","BMT","45r","4 Avenue","45thSt",40.648939,-74.010006
"125","46mr","IND","46mr","Queens Boulevard","46thSt",40.756312,-73.913333
"126","4750bdfm","IND","4750bdfm","6 Avenue","47-50thStsRockefellerCenter",40.758663,-73.981329
"127","4750bdfm7","IND","4750bdfm7","6 Avenue","47-50thStsRockefellerCenter",40.758663,-73.981329
"128","49nqr","BMT","49nqr","Broadway","49thSt",40.759901,-73.984139
"129","497nqr",NA,"49nqr","","49thSt",40.759901,-73.984139
"130","4f","IND","4f","6 Avenue","4thAv",40.670272,-73.989779
"131","50d","BMT","50d","West End","50thSt",40.63626,-73.994791
"132","501","IRT","501","Broadway-7th Ave","50thSt",40.761728,-73.983849
"133","753bde",NA,"501","","50thSt",40.761728,-73.983849
"134","50ce","IND","50ce","8 Avenue","50thSt",40.762456,-73.985984
"135","51em6","IRT","51em6","Lexington","51stSt",40.757107,-73.97192
"136","53r","BMT","53r","4 Avenue","53rdSt",40.645069,-74.014034
"137","55d","BMT","55d","West End","55thSt",40.631435,-73.995476
"138","57f","IND","57f","6 Avenue","57thSt",40.763972,-73.97745
"139","57nqr","BMT","57nqr","Broadway","57thSt",40.764664,-73.980658
"140","577nqr",NA,"57nqr","","57thSt",40.764664,-73.980658
"141","59nr","BMT","59nr","4 Avenue","59thSt",40.641362,-74.017881
"142","59nqr456","IRT","59nqr456","Lexington","59thSt",40.762526,-73.967967
"143","59456nqr",NA,"59nqr456","","59thSt",40.762526,-73.967967
"144","59abcd1","IND","59abcd1","8 Avenue","59thSt",40.768296,-73.981736
"145","591abcd",NA,"59abcd1","","59thSt-ColumbusCircle",40.768247,-73.981929
"146","5bdfm7","IRT","5bdfm7","Flushing","5thAv",40.753821,-73.981963
"147","57bdfm",NA,"5bdfm7","","5thAv",40.753821,-73.981963
